data_chave,titulo,sigla_titulo,tipo_ato_titulo,numero_titulo,autor,situacao_normalizada,revogada_flag,assunto_normalizado,ementa_status,qtd_pdfs,tipos_pdf_concat
2021-06-11,PRT - PORTARIA 162/2021,PRT,PORTARIA,162/2021,SRH/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Licença,PREENCHIDA,1,Texto Integral
2021-06-11,PRT - PORTARIA 163/2021,PRT,PORTARIA,163/2021,SRH/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Licença,NULL,1,Texto Integral
2021-06-11,PRT - PORTARIA 523/2021,PRT,PORTARIA,523/2021,MME,REVOGADA,1,Alteração,PREENCHIDA,1,Texto Integral
2021-06-11,PRT - PORTARIA 710/2021,PRT,PORTARIA,710/2021,SPE/MME,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Aprovação,PREENCHIDA,1,Texto Integral
2021-06-11,PRT - PORTARIA 711/2021,PRT,PORTARIA,711/2021,SPE/MME,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Aprovação,PREENCHIDA,1,Texto Integral
2021-06-11,PRT - PORTARIA 712/2021,PRT,PORTARIA,712/2021,SPE/MME,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Aprovação,PREENCHIDA,1,Texto Integral
2021-06-11,PRT - PORTARIA 713/2021,PRT,PORTARIA,713/2021,SPE/MME,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Aprovação,PREENCHIDA,1,Texto Integral
2021-06-11,PRT - PORTARIA 714/2021,PRT,PORTARIA,714/2021,SPE/MME,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Aprovação,PREENCHIDA,1,Texto Integral
2021-06-11,PRT - PORTARIA 715/2021,PRT,PORTARIA,715/2021,SPE/MME,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Aprovação,PREENCHIDA,1,Texto Integral
2021-06-11,PRT - PORTARIA 716/2021,PRT,PORTARIA,716/2021,SPE/MME,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Aprovação,PREENCHIDA,1,Texto Integral
